company,ticker,old_rank,new_rank,rank_improvement,old_total_score,new_total_score,old_reverse_dcf_score,new_reverse_dcf_score,old_dcf_status,size_bucket,baseline_discount_rate,current_ebit_margin,normalized_ebit_margin_5y,current_fcf_margin,normalized_fcf_margin_5y,ebit_3y_margin,ebit_5y_margin,fcf_3y_margin,fcf_5y_margin,negative_fcf_years,fcf_margin_stdev,fcf_margin_range,fcf_sign_changes,fcf_unreliable,old_implied_revenue_growth,new_implied_revenue_growth,old_implied_ebit_margin,new_implied_ebit_margin,new_outside_bounds_count
Yubico,YUBICO,78,76,2,39.4,39.5,3.5,4.9,available,lower_mid,0.128,0.08470976875884852,0.12925328610049408,0.07630957999056158,0.6211584475311519,0.12925328610049408,,0.6211584475311519,,0,0.8235411168226466,1.7613969501884446,0,True,outside_bounds,0.22328237295150755,0.22761929407715797,0.26361700147390366,1
Gränges,GRNG,75,77,-2,40.4,38.9,,1.1,unavailable,lower_mid,0.128,0.05596433248113737,0.05710720634486531,-0.011847602419405126,0.00851223847942021,0.06335869652891674,0.05710720634486531,0.011090796655284597,0.00851223847942021,1,0.04759830747300547,0.14931590278983597,2,True,unavailable,outside_bounds,unavailable,0.13803940266370773,2
Vimian Group,VIMIAN,85,78,7,38.5,38.5,0.7,0.2,available,lower_mid,0.128,0.177866380043674,0.1375010636043997,0.03149250116590708,-0.2458276726736759,0.13872567437360442,0.1375010636043997,-0.1163912562385367,-0.2458276726736759,5,0.24331001881424894,0.5635118680502705,0,True,outside_bounds,outside_bounds,0.4057629704475403,outside_bounds,3
Careium,CARE,84,79,5,38.6,38.4,5.1,0.5,available,micro,0.138,0.05483342435827417,0.048006214396685655,0.03855816493719279,-0.03454168824443294,0.07554718757354671,0.048006214396685655,0.05491488193300384,-0.03454168824443294,2,0.14699465890680713,0.3874071245374933,1,True,0.1891627550125122,outside_bounds,0.08888444304466248,0.21502015739679337,2
AddLife,ALIF B,87,80,7,38.1,38.0,2.2,0.3,available,upper_mid,0.123,0.09716945288753799,0.08639713623920825,0.06268996960486323,-0.0017687934301958306,0.07559267418538125,0.08639713623920825,0.06773419261500016,-0.0017687934301958306,2,0.12201569068754853,0.331801878549496,1,True,0.2977762714028358,outside_bounds,0.2261504828929901,0.3579922802746296,2
Svedbergs Group,SVED B,73,81,-8,40.7,37.5,,0.2,unavailable,small,0.133,0.14034932566880387,0.13004229108316503,-0.018704399734689365,-0.07199526875481213,0.13352821839906712,0.13004229108316503,-3.1948371431768995e-05,-0.07199526875481213,2,0.3375941435110323,0.8927346353249128,3,True,unavailable,outside_bounds,unavailable,0.4093683138489723,2
Viva Wine,VIVA,83,82,1,39.0,37.1,,0.2,unavailable,small,0.133,0.05747702589807853,0.07544562005528549,-0.04928989139515455,-0.04951863502049376,0.05473868103071772,0.07544562005528549,0.008079778715970301,-0.04951863502049376,2,0.18735632077456812,0.5005304554600329,2,True,unavailable,outside_bounds,unavailable,0.21201839670538902,2
Rejlers,REJL B,81,83,-2,39.3,36.9,,1.1,unavailable,small,0.133,0.05651500957191153,0.06025646871659244,-0.030385727668934055,0.012813302731376632,0.0620232521437214,0.06025646871659244,0.013955795375123061,0.012813302731376632,1,0.04543044526613595,0.13702974360375633,2,True,unavailable,outside_bounds,unavailable,0.1411882760003209,2
Beijer Alma,BEIA B,89,84,5,36.8,36.7,1.9,0.2,available,lower_mid,0.128,0.14683991421723225,0.13695363758072848,0.045666708717043016,-0.015648563130679704,0.1366613235630868,0.13695363758072848,0.012548660407602472,-0.015648563130679704,2,0.043018831037884245,0.10762886734714433,1,True,outside_bounds,outside_bounds,0.28004666417837143,0.4180859364569187,2
Bilia,BILI A,80,85,-5,39.3,35.7,61.7,1.8,available,lower_mid,0.128,0.033253393329542365,0.04187220799017636,0.042796746359433334,0.024495585713378357,0.03289351106895442,0.04187220799017636,0.030115686241298126,0.024495585713378357,0,0.014555442298430386,0.04229461451341046,0,False,0.024031682312488548,0.25000596046447754,0.028545209672302008,0.07795874821022153,1
Humana,HUM,77,86,-9,39.6,35.6,80.5,12.6,available,small,0.133,0.0430193188607847,0.04964240639461506,0.07070304720175263,0.05378628523348759,0.04742452924180532,0.04964240639461506,0.05781940154760719,0.05378628523348759,0,0.020629868711133655,0.05993744399735083,0,False,-0.034987762570381165,0.11748096942901612,0.021375390700995922,0.07760009076446295,1
MEKO,MEKO,86,87,-1,38.2,35.6,98.8,55.4,available,small,0.133,0.0339131386062794,0.04839962039513416,0.08374357291324801,0.049336307726438,0.04196036461600915,0.04839962039513416,0.0638816105103886,0.049336307726438,1,0.04390473241291352,0.11849152530662077,2,True,outside_bounds,0.07488810271024704,outside_bounds,0.04605492111295462,0
Surgical Science,SUS,82,88,-6,39.3,35.0,73.5,1.8,available,small,0.133,0.06946875031981414,0.15817594053861425,0.09560652113843604,-0.6030621595479306,0.14581702473108926,0.15817594053861425,0.08313763010640457,-0.6030621595479306,2,2.977267170649983,7.563645141099479,2,True,0.026926660537719714,outside_bounds,0.0482211634516716,0.3323718383908272,2
Modern Times Group B,MTG B,91,89,2,36.0,34.4,26.9,0.3,available,lower_mid,0.128,0.09310119339545529,0.10187941399638126,0.05811672388425699,-0.260287165119944,0.11736327541305554,0.10187941399638126,-0.2597873884643299,-0.260287165119944,3,0.2824439569201609,0.7090084814349351,4,True,0.1955941557884216,outside_bounds,0.10722851939499378,0.3107707276940346,2
Nordisk Bergteknik,NORB B,88,90,-2,37.1,34.2,48.6,0.1,available,micro,0.138,0.03807887370784026,0.04542098654029393,0.04777873236704265,-0.0013440775400225921,0.03471558088825982,0.04542098654029393,0.02457824872805172,-0.0013440775400225921,2,0.043589972007363274,0.12166394076321838,1,True,0.010528481006622306,outside_bounds,0.03872992843389511,0.13701216876506805,2
W5 Solutions,W5,93,91,2,35.0,34.1,,0.2,unavailable,micro,0.138,0.03842175711852032,0.04260070428583698,-0.47271233876855673,-0.17449479147495123,0.027746956328770063,0.04260070428583698,-0.1764449307856536,-0.17449479147495123,3,0.23444903303553988,0.602937665780529,3,True,unavailable,outside_bounds,unavailable,0.3341480493545532,2
NCAB Group,NCAB,95,92,3,33.5,33.5,0.0,0.0,available,lower_mid,0.128,0.0996080913317592,0.11694056180593862,0.00781383121150897,0.006202970348552812,0.11417545262535744,0.11694056180593862,0.025823330522985456,0.006202970348552812,1,0.08451477956949788,0.24127956598788702,1,True,outside_bounds,outside_bounds,outside_bounds,outside_bounds,3
Inission,INISS B,94,93,1,33.5,33.3,2.8,0.8,available,small,0.133,0.05526842280760254,0.05033854837771109,0.02950983661220407,0.0020127937618980318,0.05858370530299354,0.05033854837771109,0.01345610353694629,0.0020127937618980318,2,0.04659312258505946,0.12781453765551892,3,True,0.2235802114009857,outside_bounds,0.09700834564864635,0.15985922329127789,2
Swedencare,SECARE,92,94,-2,35.4,32.7,46.2,0.2,available,small,0.133,0.06643689961135146,0.07105172425648283,0.0886558627264061,-0.5774616343478061,0.07114937671667018,0.07105172425648283,0.03568032960067611,-0.5774616343478061,3,1.1628464202242796,2.5164493994201873,2,True,0.14375894069671627,outside_bounds,0.0695633739233017,0.3564990535378456,2
New Wave,NEWA B,96,95,1,33.5,32.3,,1.4,unavailable,lower_mid,0.128,0.11108924530158418,0.14547495898957483,-0.031486765718783824,0.0342246564536515,0.13697239561468105,0.14547495898957483,0.04953098008988115,0.0342246564536515,2,0.09877548031807591,0.2763992037690599,3,True,unavailable,outside_bounds,unavailable,0.2890819441527128,2
Teqnion,TEQ,97,96,1,32.9,31.7,,0.5,unavailable,small,0.133,0.09416688464556631,0.09689786894650679,-0.03327229924143343,-0.04075167559852799,0.09108108663910996,0.09689786894650679,-0.04328870791946861,-0.04075167559852799,5,0.019570875329595287,0.051735218738160504,0,True,unavailable,outside_bounds,unavailable,0.33899117447435856,2
Inwido,INWI,99,97,2,32.1,31.2,,1.5,unavailable,lower_mid,0.128,0.09108672461686329,0.10493279646118074,-0.056601780753915865,0.047179719843475305,0.0992323988840318,0.10493279646118074,0.025251018246378328,0.047179719843475305,1,0.041786790578203524,0.12521997359839107,1,True,unavailable,outside_bounds,unavailable,0.26556137949228287,2
ITAB Group,ITAB,90,98,-8,36.7,30.9,98.2,0.8,available,small,0.133,0.04781186731038779,0.054328404588652665,0.05232829777293257,0.008441877929409328,0.05767722710163112,0.054328404588652665,0.007920326223337515,0.008441877929409328,2,0.072529852687682,0.1912743278370336,2,True,-0.03128809928894044,outside_bounds,0.012855807319283485,0.08892795816063881,2
Studsvik,SVIK,98,99,-1,32.7,30.8,,0.4,unavailable,small,0.133,0.05886265380778184,0.07816391887083382,-0.01341314710120829,0.030269244454987545,0.06486320319704889,0.07816391887083382,0.027513064863203193,0.030269244454987545,2,0.0747451117257943,0.19873543247136813,4,True,unavailable,outside_bounds,unavailable,0.3253450822085142,2
Better Collective,BETCO,100,100,0,30.6,30.4,2.7,0.2,available,lower_mid,0.128,0.15625981641129455,0.20830880091661058,0.08554943712529835,-0.2357991698413601,0.18689732794630762,0.20830880091661058,-0.10576962233923184,-0.2357991698413601,4,0.39060485974127684,1.1089287246829143,1,True,0.2513527810573578,outside_bounds,0.2703651003539562,0.4926077052950859,2
HAKI Safety B,HAKI B,102,101,1,29.4,29.4,0.8,0.3,available,micro,0.138,0.06285253827558421,0.07525697503671072,0.014504431909750202,-0.034140969162995596,0.06965174129353234,0.07525697503671072,0.016973953760608722,-0.034140969162995596,3,0.08285796192888517,0.2479907522715742,3,True,outside_bounds,outside_bounds,0.14034076035022736,0.2592332288622856,2
Green Landscaping,GREEN,103,102,1,29.2,29.2,0.1,0.1,available,small,0.133,0.04642857142857143,0.06056113352725908,0.0017857142857142857,-0.01649619968096087,0.06178477408263042,0.06056113352725908,0.013700102079191962,-0.01649619968096087,3,0.052131562838669245,0.13102013779498767,2,True,outside_bounds,outside_bounds,0.09256644546985626,0.15081875957548618,2
Bergman & Beving,BERG B,104,103,1,26.8,26.8,1.4,0.6,available,lower_mid,0.128,0.08220255653883972,0.07515476681799423,0.03264503441494592,0.015889393314073463,0.07972527102552017,0.07515476681799423,0.019931317756380042,0.015889393314073463,1,0.023933954745388522,0.07079657856312005,1,True,outside_bounds,outside_bounds,0.22986386343836784,0.31016899459064007,2
Observit,OBSE,105,104,1,26.7,26.4,,0.4,unavailable,micro,0.138,0.02864816472694718,0.03824886708518688,-0.049239033124440466,-0.08398120816530164,0.023102132917853114,0.03824886708518688,-0.022027615107720413,-0.08398120816530164,4,0.15632295121544404,0.4437320305337864,2,True,unavailable,outside_bounds,unavailable,outside_bounds,3
Fasadgruppen,FG,101,105,-4,29.9,24.8,84.5,0.0,available,small,0.133,0.0073479538774587376,0.05599875404502743,0.06501997136182079,-0.04712997733054148,0.041480686832308454,0.05599875404502743,0.0024392891579343976,-0.04712997733054148,3,0.09806822121832122,0.23187411802409563,3,True,-0.020726442337036136,outside_bounds,outside_bounds,0.18968290090560913,2
4C Group,4C,106,106,0,24.1,23.2,,0.1,unavailable,micro,0.138,0.012513855667697334,0.04440633326187486,-0.15352079808645938,-0.09853918476097141,-0.0031511285099801844,0.04440633326187486,-0.20482335314871203,-0.09853918476097141,4,0.1662040185033984,0.4627282842597953,1,True,unavailable,outside_bounds,unavailable,0.37580975890159607,2
Verve Group Media,VER,108,107,1,21.8,20.5,,0.1,unavailable,small,0.133,0.10488380351154075,0.15643333353853353,-0.016751232984809628,-0.13376516246138206,0.1844218117651572,0.15643333353853353,-0.013483067047714039,-0.13376516246138206,4,0.3195236000583595,0.9093118570093551,2,True,unavailable,outside_bounds,unavailable,0.3118935599923134,2
Sdiptech,SDIP B,107,108,-1,22.4,20.2,36.3,0.4,available,lower_mid,0.128,0.07040913415794481,0.14653651814423518,0.12844909609895339,-0.09795130914101975,0.1414565917023357,0.14653651814423518,-0.019316320121220757,-0.09795130914101975,4,0.13373013824653007,0.3379921275229088,1,True,0.16718070805072782,outside_bounds,0.08438029699027538,0.393226963467896,2
Troax Group,TROAX,109,109,0,18.3,18.0,,0.0,unavailable,lower_mid,0.128,0.0817350865939705,0.16363684525463065,-0.16808851828094934,0.06229330935286003,0.14711882914654054,0.16363684525463065,0.03800593895026547,0.06229330935286003,1,0.05108920441404029,0.14781931178545735,1,True,unavailable,outside_bounds,unavailable,outside_bounds,3
Gentoo Media,G2M,110,110,0,16.3,15.3,16.9,0.1,available,micro,0.138,0.1776658270361041,0.2051552784924327,0.14818546506203936,-0.09087276691683105,0.2669136390093962,0.2051552784924327,-0.10201372302204685,-0.09087276691683105,4,0.0726657224275072,0.20179931072384855,1,True,0.036132884025573714,outside_bounds,0.2461581528186798,outside_bounds,3
EQL Pharma,EQL,111,111,0,16.0,14.8,,0.3,unavailable,micro,0.138,0.033791285040244236,0.13152797972425448,-0.07523822740309002,-0.2070217987252947,0.13890783388611203,0.13152797972425448,-0.3616387163077498,-0.2070217987252947,3,0.28595583294132365,0.7723671925912752,1,True,unavailable,outside_bounds,unavailable,0.39475204050540924,2
